feature,coefficient
Intercept,4.256903765690382
%CC,-0.0003913776718714869
%CD,0.0033999293116915496
%DT,0.028692718674286535
%EXCLAIM,0.018743556894054488
%FUNC,0.04949721947127457
%IN,-0.02483637440699966
%JJ,-0.011449013711387394
%MD,0.007490054719665216
%MISSPELLED,-0.02002836830958918
%NN,0.0031113645786403446
%PRP,-0.0012635542264210682
%QUESTION,-0.006273953310992671
%RB,-0.008431758053432414
%REPEATED,0.01863373938872354
%VB,-0.003385353879487548
AVG_WFREQ,0.01805573416187135
AVG_WLEN,0.09134807068898619
IS_NATIVE,0.49886145331497583
LM,-0.022992552246975436
LOGTYPES,0.2871635951946025
LOGWORDS,0.5166891986695753
SD_WFREQ,0.014924850607211396
SD_WLEN,-0.005267262090235924
TYPES,-0.1243599130246789
WORDS,-0.328026911527792
