,mean,std. dev.,min,max,skewness,kurtosis,Correlation,p,N
%CC,0.03717135154888907,0.012849676455991929,0.0,0.0967741935483871,0.6339051903649242,4.277241623649274,-0.10529555679544839,0.0002660753694098787,1195
%CD,0.015320931078653233,0.012490823778439835,0.0,0.0862745098039215,1.3511527614056753,5.622975411226784,0.16801248502351415,5.1117590064379035e-09,1195
%DT,0.07346304757821297,0.017417606903436765,0.0,0.1400966183574879,0.11374835528295539,3.44183293454587,0.08441782863794577,0.003496038874071333,1195
%EXCLAIM,0.0020011144926722485,0.004247658542607014,0.0,0.035264483627204,3.295927467013903,16.83475363364609,0.14684112441324743,3.424178616926986e-07,1195
%FUNC,0.5079442087523037,0.03846003078863566,0.391304347826087,0.6296296296296297,0.07129530515045054,2.9277667137218746,-0.10802954489093278,0.00018292894339650545,1195
%IN,0.10275047053349105,0.018354185909608446,0.0,0.1666666666666666,0.044896783343062505,4.042694685269465,-0.06638272615717875,0.0217388883029814,1195
%JJ,0.057257952584868606,0.01643094852997815,0.0,0.1265822784810126,0.2496521130350368,3.377432454889253,0.09534393647131156,0.0009668701486986304,1195
%MD,0.02521679203753966,0.012288518765982233,0.0,0.0773993808049535,0.7167637434147043,3.7376353300492275,-0.18913057604831063,4.3764272468212755e-11,1195
%MISSPELLED,0.03204156882976547,0.02258161331295405,0.0,0.2666666666666666,2.5554435860538915,17.314719628437786,-0.19505813875653866,1.0368320056956532e-11,1195
%NN,0.21439265178345251,0.02859948886120776,0.1333333333333333,0.3181818181818182,0.23704616236494666,2.9709318339095905,-0.014220959852941906,0.6233476039545198,1195
%PRP,0.08736776150979102,0.026483924766269578,0.0127388535031847,0.1753554502369668,0.2312651024016638,3.1191559083251783,-0.20215977540374336,1.7377457585032076e-12,1195
%QUESTION,0.002375135740027153,0.0036319482876371015,0.0,0.0251141552511415,2.11872719206641,8.626253359643227,0.18115043790321333,2.829358284582228e-10,1195
%RB,0.059033588689543476,0.018301370317664673,0.0,0.1239193083573487,0.17826595408033855,3.415358764259961,0.13942468814319903,1.3092402518532433e-06,1195
%REPEATED,0.040441749921008456,0.026139788548929156,0.0,0.2048192771084337,1.2407370991581939,5.83066950514226,0.04071297855824776,0.15957334459875117,1195
%VB,0.18286157339501802,0.020055260392114378,0.1056338028169014,0.2711864406779661,0.13731464852204667,3.8206928859189686,-0.15068115796097314,1.6649395345489939e-07,1195
AVG_WFREQ,7.824476692200636,0.2082657207265828,6.861324457781879,8.522291755002701,-0.5505888591684245,4.828156494987961,-0.28817938961356077,2.753407949550654e-24,1195
AVG_WLEN,4.330922141784153,0.25218041340069824,3.5774647887323945,5.159217877094972,0.27506881596726374,3.210305266341193,0.24421094819646347,1.097611550844192e-17,1195
LM,-2.296340497735226,0.18961460357579163,-3.214607599046495,-1.739683788618905,-0.7209120658054164,4.57034075509728,0.13385657483196103,3.4284579125876317e-06,1195
LOGTYPES,2.1871170094044188,0.14764770540665484,1.2552725051033058,2.5224442335063197,-1.5062333885204349,8.125360252846944,0.7709260780109607,5.666343752637279e-236,1195
LOGWORDS,2.579830783793576,0.18178687389066897,1.3424226808222062,2.942504106168081,-1.8503529545667181,10.047470869026348,0.7658851689031885,4.534936255671229e-231,1195
SD_WFREQ,1.4968160787660296,0.3092718439315262,0.8210579019518833,3.375043044095328,0.8050767493489623,4.735943709830122,-0.10198617025028935,0.00041390170020531386,1195
SD_WLEN,2.2077657655959,0.20603524521083208,1.5960889699512368,3.1350428289918857,0.3051712844210331,3.482411310960527,0.3008600318023638,2.0073607586416855e-26,1195
